chercheur_id ,nom_complet                       ,hindex ,ggl_scholar                                            ,dblp                               ,ORCID               ,etablissement_origine
    90000000 ,KHENIFAR Afra                     ,     2 ,https://scholar.google.com/citations?user=x3cefb0AAAAJ ,https://dblp.org/pid/188/8711.html ,0000-0003-4235-1880 ,
    90000001 ,SETRA Waffa                       ,     1 ,https://scholar.google.com/citations?user=c_WOjx4AAAAJ ,https://dblp.org/pid/162/8789.html ,0000-0001-6465-0158 ,
    90000002 ,AISSAOUI Yamina                   ,       ,                                                       ,                                   ,                    ,
    90000003 ,NAEM Mohammed Sharief Abdelrahman ,     1 ,https://scholar.google.com/citations?user=7k2is_4AAAAJ ,https://dblp.org/pid/319/0298.html ,0000-0002-4853-0057 ,
    90000004 ,BELDI Zohra                       ,     1 ,https://scholar.google.com/citations?user=8QWvtZQAAAAJ ,https://dblp.org/pid/246/7137.html ,0000-0003-2198-964X ,
    90000005 ,KHENFOUCI Yamina                  ,     1 ,https://scholar.google.com/citations?user=LxxtSuUAAAAJ ,https://dblp.org/pid/365/7965.html ,0000-0002-9035-734X ,
    90000006 ,DJAHNIT Hadjer                    ,       ,                                                       ,https://dblp.org/pid/306/5941.html ,0000-0001-9381-5927 ,
    90000007 ,TOUAFEK Nesrine                   ,     1 ,https://scholar.google.com/citations?user=hqXqdLsAAAAJ ,https://dblp.org/pid/329/2829.html ,0000-0003-4355-3628 ,
    90000008 ,HAKIMI Yacine                     ,       ,                                                       ,https://dblp.org/pid/360/3333.html ,0000-0003-4325-7706 ,
    90000009 ,GOUMIRI Soumia                    ,     3 ,https://scholar.google.com/citations?user=n84UnjcAAAAJ ,https://dblp.org/pid/304/1792.html ,0000-0003-4092-514X ,
    90000010 ,NADJEH Nibel                      ,     1 ,https://scholar.google.com/citations?user=QwD7EYsAAAAJ ,https://dblp.org/pid/346/3805.html ,0009-0001-5233-9976 ,
    90000011 ,BOUCHELOUCHE Khadidja             ,       ,                                                       ,                                   ,                    ,
    90000012 ,BOUZARA Ayoub                     ,       ,                                                       ,                                   ,                    ,
    90000013 ,KHALDI Amina                      ,       ,                                                       ,https://dblp.org/pid/339/9985.html ,0000-0003-4935-1840 ,
    90000014 ,MOUMENI Chadia                    ,       ,                                                       ,                                   ,                    ,
    31105430 ,BOUDJATIT Nour-El-Houda           ,       ,                                                       ,                                   ,                    ,
    90000015 ,SMILI Abderraouf                  ,       ,                                                       ,                                   ,                    ,
    90000016 ,BOUKABENE Randa                   ,     1 ,https://scholar.google.com/citations?user=ChMvMSwAAAAJ ,https://dblp.org/pid/288/0321.html ,0000-0003-0619-1234 ,
    33010315 ,MAOUCHE Hanane                    ,       ,                                                       ,                                   ,                    ,
    90000017 ,BOUSLIMANI Mariem                 ,       ,                                                       ,                                   ,                    ,
    90000018 ,GHEZAL YahiaChaouki               ,       ,                                                       ,                                   ,                    ,
    90000019 ,SELMAN Elamine                    ,       ,                                                       ,                                   ,                    ,
    90000020 ,BENHELAL Asmaa                    ,       ,                                                       ,                                   ,                    ,
    90000021 ,FACI Fedoua                       ,       ,                                                       ,                                   ,                    ,
    90000022 ,AHMED EL ABDY Zeinebou            ,       ,                                                       ,                                   ,                    ,
     2000057 ,KOUDIL Mouloud                    ,    16 ,https://scholar.google.com/citations?user=9Zbx-EYAAAAJ ,https://dblp.org/pid/50/5791.html  ,0009-0000-0915-2594 ,
     2000020 ,BENATCHBA Karima                  ,    13 ,https://scholar.google.com/citations?user=7iGY4M0AAAAJ ,https://dblp.org/pid/64/997.html   ,0009-0001-1164-590X ,
     2000044 ,GHOMARI Abdessamed R̩da           ,    10 ,https://scholar.google.com/citations?user=hha1UuUAAAAJ ,https://dblp.org/pid/98/7095.html  ,0000-0002-6038-9172 ,
     2000032 ,CHALAL Rachid                     ,     8 ,https://scholar.google.com/citations?user=qMYUliQAAAAJ ,https://dblp.org/pid/91/7093.html  ,0009-0005-9385-3217 ,
     2000018 ,Fatima Benbouzid-Si Tayeb         ,    15 ,https://scholar.google.com/citations?user=ri2J--kAAAAJ ,https://dblp.org/pid/25/6743.html  ,0000-0001-8906-8842 ,
     2000067 ,NADER Fahima                      ,     9 ,https://scholar.google.com/citations?user=XhP-NkYAAAAJ ,https://dblp.org/pid/17/11042.html ,0009-0000-2699-6174 ,
     2000016 ,BALLA Amar                        ,     6 ,https://scholar.google.com/citations?user=n1t4S6UAAAAJ ,https://dblp.org/pid/99/3456.html  ,0009-0009-0925-3366 ,
     2000026 ,BESSEDIK Malika                   ,     8 ,https://scholar.google.com/citations?user=FTzfUeEAAAAJ ,https://dblp.org/pid/02/5217.html  ,0000-0002-1774-3375 ,
     2000082 ,BOUSBIA Nabila                    ,    11 ,https://scholar.google.com/citations?user=_u5IOC4AAAAJ ,https://dblp.org/pid/15/6951.html  ,0000-0002-0825-2064 ,
     2000097 ,KERMI Adel                        ,     6 ,https://scholar.google.com/citations?user=1UEZWYAAAAAJ ,https://dblp.org/pid/119/2354.html ,0000-0002-3120-3594 ,
    90000023 ,GUERROUTE Elhachmi                ,       ,                                                       ,                                   ,                    ,
    90000024 ,MAHIOU Ramdane                    ,     8 ,https://scholar.google.com/citations?user=eFAj_SkAAAAJ ,https://dblp.org/pid/71/8381.html  ,0009-0003-3049-3037 ,
    90000025 ,BENBOUDJEMA                       ,    32 ,https://scholar.google.com/citations?user=Sf5MnowAAAAJ ,https://dblp.org/pid/80/5316.html  ,0009-0008-0171-7464 ,
    90000026 ,HAMANI Nacer                      ,     3 ,https://scholar.google.com/citations?user=Sx9QpVUAAAAJ ,https://dblp.org/pid/92/1607.html  ,0009-0008-7794-0806 ,
    90000027 ,BOUKHADRA Adel                    ,       ,                                                       ,https://dblp.org/pid/116/6640.html ,0000-0002-3120-3594 ,
