ConfJournal_id,titre_publication,chercheur_id,date_publication,lien,nombre_pages,nombre_volumes
firai,A Meta-Agent Based Approach to Exploit the Collective Product of Mobile Cyber-Physical Collectives.,90000000,2022,https://dblp.org/rec/journals/firai/KhenifarJOBK22,,9
ria,De la coopération de collectifs multi-agents. Un modèle d'utilisation de productions collectives.,90000000,2017,https://dblp.org/rec/journals/ria/Khenifar-Bessadi17,97-132,31
jfsma,De la coopération des productions collectives dans un contexte multi-agent (présentation courte).,90000000,2016,https://dblp.org/rec/conf/jfsma/Khenifar-Bessadi16,43-52,
rivf,About cooperation of multiagent collective products: An approach in the context of cyber-physical systems.,90000000,2016,https://dblp.org/rec/conf/rivf/Khenifar-Bessadi16,19-24,
iwwiss,A recursive approach to enable the collective level interaction of the Web of Things applications.,90000000,2014,https://dblp.org/rec/conf/iwwiss/KhenifarJOBK14,13:1-13:2,
ciia,Requirement Analysis in Data Warehouses to Support External Information.,90000001,2015,https://dblp.org/rec/conf/ciia/ChouderCS15,243-253,
ciia,Engineering the Requirements of Data Warehouses: A Comparative Study of Goal-Oriented Approaches.,90000001,2015,https://dblp.org/rec/conf/ciia/SetraCC15,254-265,
sensors,Product Quality Assessment in the Internet of Things: A Consumer-Oriented Approach.,90000003,2022,https://dblp.org/rec/journals/sensors/NaemKO22,2215,22
kes,A QLearning Approach for an efficient Estimation Of Initial Number of Communities in social networks.,90000004,2023,https://dblp.org/rec/conf/kes/BeldiB23,3785-3794,
cec,A New Brainstorming Based Algorithm for the Community Detection Problem.,90000004,2019,https://dblp.org/rec/conf/cec/BeldiB19,2958-2965,
bcca,SuperChain: Decentralized and Trustful Supervised Learning over Blockchain.,90000005,2023,https://dblp.org/rec/conf/bcca/YaminaY23,627-634,
kes,A New Branch and Bound Algorithm for Mining Frequent Conceptual Links in Social Networks.,90000006,2023,https://dblp.org/rec/conf/kes/DjahnitB23,4399-4409,
ic3k,Exhaustive Solution for Mining Frequent Conceptual Links in Large Networks using a Binary Compressed Representation.,90000006,2021,https://dblp.org/rec/conf/ic3k/DjahnitB21,180-190,
algorithms,A Reinforcing-Learning-Driven Artificial Bee Colony Algorithm for Scheduling Jobs and Flexible Maintenance under Learning and Deteriorating Effects.,90000007,2023,https://dblp.org/rec/journals/algorithms/TouafekTL23,397,16
iccci,An Integrated Artificial Bee Colony Algorithm for Scheduling Jobs and Flexible Maintenance with Learning and Deteriorating Effects.,90000007,2022,https://dblp.org/rec/conf/iccci/TouafekTLDB22,647-659,
kes,"Permutation Flowshop Scheduling Problem Considering Learning, Deteriorating Effects and Flexible Maintenance.",90000007,2022,https://dblp.org/rec/conf/kes/TouafekLTDB22,2518-2525,
ijpp,A Hybrid Machine Learning Model for Code Optimization.,90000008,2023,https://dblp.org/rec/journals/ijpp/HakimiBC23,309-331,51
nca,A new hybrid model of convolutional neural networks and hidden Markov chains for image classification.,90000009,2023,https://dblp.org/rec/journals/nca/GoumiriBP23,17987-18002,35
isc2,One Convolutional Layer Model For Parking Occupancy Detection.,90000009,2021,https://dblp.org/rec/conf/isc2/GoumiriBP21,1-5,
icaart,RDC-Repair: Towards a Relevance-Driven Approach for Data and Constraints Repair.,90000010,2023,https://dblp.org/rec/conf/icaart/NadjehAN23a,448-468,
icaart,CSP-DC: Data Cleaning via Constraint Satisfaction Problem Solving.,90000010,2023,https://dblp.org/rec/conf/icaart/NadjehAN23,478-488,
sle,Gamification of e-learning in higher education: a systematic literature review.,90000013,2023,https://dblp.org/rec/journals/sle/KhaldiBN23,10,10
icaart,Flattening Based Cuckoo Search Optimization Algorithm for Community Detection in Multiplex Networks.,90000016,2024,https://dblp.org/rec/conf/icaart/BoukabeneTD24,519-526,
webist,Improved Random Key Cuckoo Search Optimization Algorithm for Community Detection in Social Networks.,90000016,2023,https://dblp.org/rec/conf/webist/BoukabeneTD23,113-120,
corr,Image Segmentation Methods for Non-destructive testing Applications.,90000016,2021,https://dblp.org/rec/journals/corr/abs-2103-07754,,abs/2103.07754
corr,hidden markov random fields and cuckoo search method for medical image segmentation.,90000016,2020,https://dblp.org/rec/journals/corr/abs-2005-09377,,abs/2005.09377
tjs,Novel area-efficient and flexible architectures for optimal Ate pairing on FPGA.,2000057,2024,https://dblp.org/rec/journals/tjs/AzzouziAKIH24,2633-2659,80
corr,Novel Area-Efficient and Flexible Architectures for Optimal Ate Pairing on FPGA.,2000057,2023,https://dblp.org/rec/journals/corr/abs-2308-04261,,abs/2308.04261
firai,A Meta-Agent Based Approach to Exploit the Collective Product of Mobile Cyber-Physical Collectives.,2000057,2022,https://dblp.org/rec/journals/firai/KhenifarJOBK22,,9
jpdc,Multi-objective biogeography-based optimization and reinforcement learning hybridization for network-on chip reliability improvement.,2000057,2022,https://dblp.org/rec/journals/jpdc/KadriK22,20-36,161
sensors,Product Quality Assessment in the Internet of Things: A Consumer-Oriented Approach.,2000057,2022,https://dblp.org/rec/journals/sensors/NaemKO22,2215,22
tjs,Reliability-aware intelligent mapping based on reinforcement learning for networks-on-chips.,2000057,2022,https://dblp.org/rec/journals/tjs/KadriCLK22,18153-18188,78
iet-bmt,Optimized multi-biometric enhancement analysis.,2000057,2021,https://dblp.org/rec/journals/iet-bmt/ArtabazSBK21,326-341,10
iotj,Energy Efficiency in Security of 5G-Based IoT: An End-to-End Adaptive Approach.,2000057,2020,https://dblp.org/rec/journals/iotj/HellaouiKB20,6589-6602,7
jsa,A survey on fault-tolerant application mapping techniques for Network-on-Chip.,2000057,2019,https://dblp.org/rec/journals/jsa/KadriK19,39-52,92
iecon,Matching Similarity Scores for a Minutiae-based Palmprint Recognition.,2000057,2019,https://dblp.org/rec/conf/iecon/FaisalBK19,132-137,
ijautcomp,A Novel Active Learning Method Using SVM for Text Classification.,2000057,2018,https://dblp.org/rec/journals/ijautcomp/GoudjilKBG18,290-298,15
sj,A Multi-Cooperative-Based Approach to Manage Communication in Wireless Instrumentation Systems.,2000057,2018,https://dblp.org/rec/journals/sj/HamaniJOBLK18,2174-2185,12
tbc,"On Improving Video Streaming Efficiency, Fairness, Stability, and Convergence Time Through Client-Server Cooperation.",2000057,2018,https://dblp.org/rec/journals/tbc/MaraiTMK18,11-25,64
icc,Context Aware MWSN Optimal Redeployment Strategies for Air Pollution Timely Monitoring.,2000057,2018,https://dblp.org/rec/conf/icc/BelkhiriBRK18,1-7,
icecsys,FTNoCSim: A new Simulation platform for Evaluating Network-on-Chip Reliability.,2000057,2018,https://dblp.org/rec/conf/icecsys/KadriYKK18,421-424,
cn,Energy-efficient mechanisms in security of the internet of things: A survey.,2000057,2017,https://dblp.org/rec/journals/cn/HellaouiKB17,173-189,127
ria,De la coopération de collectifs multi-agents. Un modèle d'utilisation de productions collectives.,2000057,2017,https://dblp.org/rec/journals/ria/Khenifar-Bessadi17,97-132,31
telsys,Adaptive and dual data-communication trust scheme for clustered wireless sensor networks.,2000057,2017,https://dblp.org/rec/journals/telsys/TalbiKBB17,605-619,65
jsa,NoC routing protocols - objective-based classification.,2000057,2016,https://dblp.org/rec/journals/jsa/GabisK16,14-32,66-67
his,Chaff-Points Generation Using Knapsack Problem Resolution in Fingerprint Fuzzy Vault.,2000057,2016,https://dblp.org/rec/conf/his/DellysSABK16,507-516,
isda,Multibiometrics Enhancement Using Quality Measurement in Score Level Fusion.,2000057,2016,https://dblp.org/rec/conf/isda/ArtabazSDBK16,260-267,
jfsma,De la coopération des productions collectives dans un contexte multi-agent (présentation courte).,2000057,2016,https://dblp.org/rec/conf/jfsma/Khenifar-Bessadi16,43-52,
lcn,TAS-IoT: Trust-Based Adaptive Security in the IoT.,2000057,2016,https://dblp.org/rec/conf/lcn/HellaouiBK16,599-602,
mcsoc,Heuristic Based Routing Algorithm for Network on Chip.,2000057,2016,https://dblp.org/rec/conf/mcsoc/GabisSBKB16,39-45,
rivf,About cooperation of multiagent collective products: An approach in the context of cyber-physical systems.,2000057,2016,https://dblp.org/rec/conf/rivf/Khenifar-Bessadi16,19-24,
globecom,Adaptive Data-Communication Trust Mechanism for Clustered Wireless Sensor Networks.,2000057,2015,https://dblp.org/rec/conf/globecom/TalbiKBB15,1-6,
idt,A bi-objective heuristic for heterogeneous MPSoC design space exploration.,2000057,2015,https://dblp.org/rec/conf/idt/MediouniNBBK15,90-95,
ivic,Score Level Fusion Scheme in Hybrid Multibiometric System.,2000057,2015,https://dblp.org/rec/conf/ivic/ArtabazSBDK15,166-177,
ivic,A Critical Comparison of Fingerprint Fuzzy Vault Techniques.,2000057,2015,https://dblp.org/rec/conf/ivic/DellysBBSBAK15,178-188,
mobisys,Bird Flocking Congestion Control for CoAP/RPL/6LoWPAN Networks.,2000057,2015,https://dblp.org/rec/conf/mobisys/HellaouiK15,25-30,
jnca,Adaptive failure detection in low power lossy wireless sensor networks.,2000057,2014,https://dblp.org/rec/journals/jnca/BenhamidaCK14,168-180,45
IEEEias,Extraction method of Region of Interest from hand palm: Application with contactless and touchable devices.,2000057,2014,https://dblp.org/rec/conf/IEEEias/ArtabazBKNB14,77-82,
iwwiss,A recursive approach to enable the collective level interaction of the Web of Things applications.,2000057,2014,https://dblp.org/rec/conf/iwwiss/KhenifarJOBK14,13:1-13:2,
globecom,ALLONE: A new adaptive failure detector model for Low-power Lossy Networks.,2000057,2013,https://dblp.org/rec/conf/globecom/BenhamidaCK13,91-96,
cason,Threats models on biometric systems: A comparative study.,2000057,2012,https://dblp.org/rec/conf/cason/NabilKMA12,186-191,
iscc,A new weighted shortest path tree for convergecast traffic routing in WSN.,2000057,2012,https://dblp.org/rec/conf/iscc/BechkitKCBSB12,187-192,
ieeeIA,An optimized self-organized approach to manage communication in wireless instrumentation systems.,2000057,2011,https://dblp.org/rec/conf/ieeeIA/HamaniJOK11,54-61,
jfsma,Ant-MWAC : Une approche conjointe multi-agent et colonie de fourmis pour gérer les communications dans les réseaux de capteurs sans fil.,2000057,2011,https://dblp.org/rec/conf/jfsma/HamaniJOK11,85-94,
wd,Efficient adaptive failure detection for Query/Response based wireless sensor networks.,2000057,2011,https://dblp.org/rec/conf/wd/BenhamidaCK11,1-6,
medes,An ACO/MAS joint approach to manage communications in wireless sensor networks.,2000057,2009,https://dblp.org/rec/conf/medes/HamaniJKO09,332-339,
amc,Using artificial bees to solve partitioning and scheduling problems in codesign.,2000057,2007,https://dblp.org/rec/journals/amc/KoudilBTS07,1710-1722,186
amc,AntPart: an algorithm for the unsupervised classification problem using ants.,2000057,2006,https://dblp.org/rec/journals/amc/AdmaneBKSM06,16-28,180
iwinac,Using Bees to Solve a Data-Mining Problem Expressed as a Max-Sat One.,2000057,2005,https://dblp.org/rec/conf/iwinac/BenatchbaAK05,212-220,
iwinac,Solving Partitioning Problem in Codesign with Ant Colonies.,2000057,2005,https://dblp.org/rec/conf/iwinac/KoudilBGH05,324-337,
smc,Using ant colonies to solve data-mining problems.,2000057,2004,https://dblp.org/rec/conf/smc/AdmaneBKDGH04,3151-3157,
iwann,Using Genetic Algorithms for Solving Partitioning Problem in Codesign.,2000057,2003,https://dblp.org/rec/conf/iwann/KoudilBD03,393-400,
iotj,Cooperative Deep Reinforcement Learning for Dynamic Pollution Plume Monitoring Using a Drone Fleet.,2000020,2024,https://dblp.org/rec/journals/iotj/AssenineBMRB24,7325-7338,11
corr,LOOPer: A Learned Automatic Code Optimizer For Polyhedral Compilers.,2000020,2024,https://dblp.org/rec/journals/corr/abs-2403-11522,,abs/2403.11522
access,Deep Learning-Based Gender Classification by Training With Fake Data.,2000020,2023,https://dblp.org/rec/journals/access/OuladKaddourHVPBC23,120766-120779,11
hai,Enhancing Explanaibility in AI: Food Recommender System Use Case.,2000020,2023,https://dblp.org/rec/conf/hai/TessaAFTBN23,395-397,
iccci,A Fitness Approximation Assisted Hyper-heuristic for the Permutation Flowshop Problem.,2000020,2023,https://dblp.org/rec/conf/iccci/CherreredMBT23,534-545,
ictai,On data selection for the energy efficiency of neural networks: Towards a new solution based on a dynamic selectivity ratio.,2000020,2023,https://dblp.org/rec/conf/ictai/BoumendilBB23,325-332,
iwann,Offline Substitution Machine Learning Model for the Prediction of Fitness of GA-ARM.,2000020,2023,https://dblp.org/rec/conf/iwann/HamdadLABS23,130-142,
kes,An Analysis of Effective Per-instance Tailored GAs for the Permutation Flowshop Scheduling Problem.,2000020,2023,https://dblp.org/rec/conf/kes/BachaTB23,3958-3966,
kes,Fitness Approximation Surrogate-assisted Hyper-heuristic for the Permutation Flowshop Problem.,2000020,2023,https://dblp.org/rec/conf/kes/MekkiCTB23,4043-4054,
asc,Adaptive search space to generate a per-instance genetic algorithm for the permutation flow shop problem.,2000020,2022,https://dblp.org/rec/journals/asc/BachaBT22,109079,124
asunam,A Hybrid Artificial Bee Colony Algorithm with Simulated Annealing for Enhanced Community Detection in Social Networks.,2000020,2022,https://dblp.org/rec/conf/asunam/DakicheBTSB22,104-108,
corr,Progress Report: A Deep Learning Guided Exploration of Affine Unimodular Loop Transformations.,2000020,2022,https://dblp.org/rec/journals/corr/abs-2206-03684,,abs/2206.03684
iet-bmt,Optimized multi-biometric enhancement analysis.,2000020,2021,https://dblp.org/rec/journals/iet-bmt/ArtabazSBK21,326-341,10
ijbic,Performance assessment of biogeography-based multi-objective algorithm for frequency assignment problem.,2000020,2021,https://dblp.org/rec/journals/ijbic/DaoudiBBH21,199-209,18
ngc,Tailored Network Splitting for Community Evolution Prediction in Dynamic Social Networks.,2000020,2021,https://dblp.org/rec/journals/ngc/DakicheTBS21,303-340,39
sncs,Association Rules Mining.,2000020,2021,https://dblp.org/rec/journals/sncs/HamdadB21,449,2
mlsys,A Deep Learning Based Cost Model for Automatic Code Optimization.,2000020,2021,https://dblp.org/rec/conf/mlsys/BaghdadiMLAABA21,,
simultech,EPredictor: An Experimental Platform for Community Evolution Prediction Tests.,2000020,2021,https://dblp.org/rec/conf/simultech/DakicheTBSKC21,295-302,
webist,Impact of Tailored Network Splitting and Community Features' Change Rates on Prediction Accuracy in Dynamic Social Networks.,2000020,2021,https://dblp.org/rec/conf/webist/DakicheBTS21,95-102,
corr,A Deep Learning Based Cost Model for Automatic Code Optimization.,2000020,2021,https://dblp.org/rec/journals/corr/abs-2104-04955,,abs/2104.04955
ijcse,Two-level parallel CPU/GPU-based genetic algorithm for association rule mining.,2000020,2020,https://dblp.org/rec/journals/ijcse/HamdadOBB20,335-345,22
memetic,Feature selection based bee swarm meta-heuristic approach for combinatorial optimisation problems: a case-study on MaxSAT.,2000020,2020,https://dblp.org/rec/journals/memetic/SadegHCBHK20,283-298,12
aciids,Solving the Unrelated Parallel Machine Scheduling Problem with Setups Using Late Acceptance Hill Climbing.,2000020,2020,https://dblp.org/rec/conf/aciids/TerziAYB20,249-258,
misc,Meta-learning to Select the Best Metaheuristic for the MaxSAT Problem.,2000020,2020,https://dblp.org/rec/conf/misc/SadegHKBH20,122-135,
ipm,Tracking community evolution in social networks: A survey.,2000020,2019,https://dblp.org/rec/journals/ipm/DakicheTSB19,1084-1102,56
brain,Evaluation of Identity Information Loss in EEG-Based Biometric Systems.,2000020,2019,https://dblp.org/rec/conf/brain/BoubakeurWLB19,201-211,
iecon,Matching Similarity Scores for a Minutiae-based Palmprint Recognition.,2000020,2019,https://dblp.org/rec/conf/iecon/FaisalBK19,132-137,
iecon,Induction Machines Bearing Failures Detection and Diagnosis using Variable Neighborhood Search.,2000020,2019,https://dblp.org/rec/conf/iecon/KhamoudjTBB19,6010-6015,
iwann,Impact of Genetic Algorithms Operators on Association Rules Extraction.,2000020,2019,https://dblp.org/rec/conf/iwann/HamdadBBO19,747-759,
iwann,Unsupervised Learning Bee Swarm Optimization Metaheuristic.,2000020,2019,https://dblp.org/rec/conf/iwann/SadegHHABH19,773-784,
iwann,QBSO-FS: A Reinforcement Learning Based Bee Swarm Optimization Metaheuristic for Feature Selection.,2000020,2019,https://dblp.org/rec/conf/iwann/SadegHRKBH19,785-796,
kes,A New Hyper-Heuristic to Generate Effective Instance GA for the Permutation Flow Shop Problem.,2000020,2019,https://dblp.org/rec/conf/kes/BachaBBT19,1365-1374,
sac,Community evolution prediction in dynamic social networks using community features' change rates.,2000020,2019,https://dblp.org/rec/conf/sac/DakicheTSB19,2078-2085,
or,Game theory-based integration of scheduling with flexible and periodic maintenance planning in the permutation flowshop sequencing problem.,2000020,2018,https://dblp.org/rec/journals/or/TayebBM18,221-255,18
ciia,Basketball Analytics. Data Mining for Acquiring Performances.,2000020,2018,https://dblp.org/rec/conf/ciia/HamdadBBC18,13-24,
ciia,Similarity Measures for Spatial Clustering.,2000020,2018,https://dblp.org/rec/conf/ciia/HamdadBIM18,25-36,
fuzzIEEE,Sensitive Analysis of Timeframe Type and Size Impact on Community Evolution Prediction.,2000020,2018,https://dblp.org/rec/conf/fuzzIEEE/DakicheTSB18,1-8,
ntms,Chaff-Points Generation Method Based on Adaptive Genetic Algorithms and Non-Fixed Size Squares Boundaries for Resource Constrained Devices.,2000020,2018,https://dblp.org/rec/conf/ntms/DellysBSC18,1-4,
asc,A new MPPT controller based on the Ant colony optimization algorithm for Photovoltaic systems under partial shading conditions.,2000020,2017,https://dblp.org/rec/journals/asc/TitriLYB17,465-479,58
telsys,Adaptive and dual data-communication trust scheme for clustered wireless sensor networks.,2000020,2017,https://dblp.org/rec/journals/telsys/TalbiKBB17,605-619,65
iecon,Classical mechanics-inspired optimization metaheuristic for induction machines bearing failures detection and diagnosis.,2000020,2017,https://dblp.org/rec/conf/iecon/KhamoudjTBB17,3803-3808,
jaihc,Efficient distributed discovery and composition of OWL-S process model in P2P systems.,2000020,2016,https://dblp.org/rec/journals/jaihc/BoukhadraBB16,187-203,7
his,Chaff-Points Generation Using Knapsack Problem Resolution in Fingerprint Fuzzy Vault.,2000020,2016,https://dblp.org/rec/conf/his/DellysSABK16,507-516,
icsibo,Classical Mechanics Optimization for Image Segmentation.,2000020,2016,https://dblp.org/rec/conf/icsibo/KhamoudjBK16,102-110,
idc,A Dynamic Model to enhance the Distributed Discovery of services in P2P Overlay Networks.,2000020,2016,https://dblp.org/rec/conf/idc/BoukhadraBB16,13-22,
isda,Multibiometrics Enhancement Using Quality Measurement in Score Level Fusion.,2000020,2016,https://dblp.org/rec/conf/isda/ArtabazSDBK16,260-267,
mcsoc,Heuristic Based Routing Algorithm for Network on Chip.,2000020,2016,https://dblp.org/rec/conf/mcsoc/GabisSBKB16,39-45,
3pgcic,Towards Efficient and Effective Distributed Discovery of SWs in P2P Overlay Networks.,2000020,2015,https://dblp.org/rec/conf/3pgcic/BoukhadraBB15,77-84,
acii,Multitasking in emotion modelling: Attention Control.,2000020,2015,https://dblp.org/rec/conf/acii/SidoumouTPBB15,308-314,
cdc,Game theoretic modelling of the integrated production and preventive maintenance scheduling problem in permutation flowshops.,2000020,2015,https://dblp.org/rec/conf/cdc/TayebMB15,5184-5189,
ciia,Region-Edge Cooperation for Image Segmentation Using Game Theory.,2000020,2015,https://dblp.org/rec/conf/ciia/BoudraaB15,515-526,
dcai,Efficient P2P Approach for a Better Automation of the Distributed Discovery of SWs.,2000020,2015,https://dblp.org/rec/conf/dcai/BoukhadraBB15,277-284,
fnc,Similarity Flooding for Efficient Distributed Discovery of OWL-S Process Model in P2P Networks.,2000020,2015,https://dblp.org/rec/conf/fnc/BoukhadraBB15,317-324,
globecom,Adaptive Data-Communication Trust Mechanism for Clustered Wireless Sensor Networks.,2000020,2015,https://dblp.org/rec/conf/globecom/TalbiKBB15,1-6,
idt,A bi-objective heuristic for heterogeneous MPSoC design space exploration.,2000020,2015,https://dblp.org/rec/conf/idt/MediouniNBBK15,90-95,
ivic,Score Level Fusion Scheme in Hybrid Multibiometric System.,2000020,2015,https://dblp.org/rec/conf/ivic/ArtabazSBDK15,166-177,
ivic,A Critical Comparison of Fingerprint Fuzzy Vault Techniques.,2000020,2015,https://dblp.org/rec/conf/ivic/DellysBBSBAK15,178-188,
iwann,BSO-FS: Bee Swarm Optimization for Feature Selection in Classification.,2000020,2015,https://dblp.org/rec/conf/iwann/SadegHBH15,387-399,
simultech,Artificial Financial Market - Risk Analysis Approach.,2000020,2015,https://dblp.org/rec/conf/simultech/HedjaziAB15,359-366,
IEEEias,Extraction method of Region of Interest from hand palm: Application with contactless and touchable devices.,2000020,2014,https://dblp.org/rec/conf/IEEEias/ArtabazBKNB14,77-82,
